 >TARREC   rectangular prism; AX,AY,AZ= 32.0000 64.0000 64.0000
    131072 = NAT 
  1.000000  0.000000  0.000000 = A_1 vector
  0.000000  1.000000  0.000000 = A_2 vector
  1.000000  1.000000  1.000000 = lattice spacings (d_x,d_y,d_z)/d
 -32.50000 -32.50000 -32.50000 = lattice offset x0(1-3) = (x_TF,y_TF,z_TF)/d for dipole 0 0 0
     JA  IX  IY  IZ ICOMP(x,y,z)
  36138  10  42  18 1 1 1
  36139  11  42  18 1 1 1
  36140  12  42  18 1 1 1
  36141  13  42  18 1 1 1
  36142  14  42  18 1 1 1
  36143  15  42  18 1 1 1
  36144  16  42  18 1 1 1
  36145  17  42  18 1 1 1
  36146  18  42  18 1 1 1
  36147  19  42  18 1 1 1
  36148  20  42  18 1 1 1
  36149  21  42  18 1 1 1
  36150  22  42  18 1 1 1
  36151  23  42  18 1 1 1
  36152  24  42  18 1 1 1
  36153  25  42  18 1 1 1
  36154  26  42  18 1 1 1
  36155  27  42  18 1 1 1
  36156  28  42  18 1 1 1
  36157  29  42  18 1 1 1
  36158  30  42  18 1 1 1
  36159  31  42  18 1 1 1
  36160  32  42  18 1 1 1
  36161   1  43  18 1 1 1
  36162   2  43  18 1 1 1
  36163   3  43  18 1 1 1
  36164   4  43  18 1 1 1
  36165   5  43  18 1 1 1
  36166   6  43  18 1 1 1
  36167   7  43  18 1 1 1
  36168   8  43  18 1 1 1
  36169   9  43  18 1 1 1
  36170  10  43  18 1 1 1
  36171  11  43  18 1 1 1
  36172  12  43  18 1 1 1
  36173  13  43  18 1 1 1
  36174  14  43  18 1 1 1
  36175  15  43  18 1 1 1
  36176  16  43  18 1 1 1
  36177  17  43  18 1 1 1
  36178  18  43  18 1 1 1
  36179  19  43  18 1 1 1
  36180  20  43  18 1 1 1
  36181  21  43  18 1 1 1
  36182  22  43  18 1 1 1
  36183  23  43  18 1 1 1
  36184  24  43  18 1 1 1
  36185  25  43  18 1 1 1
  36186  26  43  18 1 1 1
  36187  27  43  18 1 1 1
  36188  28  43  18 1 1 1
  36189  29  43  18 1 1 1
  36190  30  43  18 1 1 1
  36191  31  43  18 1 1 1
  36192  32  43  18 1 1 1
  36193   1  44  18 1 1 1
  36194   2  44  18 1 1 1
  36195   3  44  18 1 1 1
  36196   4  44  18 1 1 1
  36197   5  44  18 1 1 1
  36198   6  44  18 1 1 1
  36199   7  44  18 1 1 1
  36200   8  44  18 1 1 1
  36201   9  44  18 1 1 1
  36202  10  44  18 1 1 1
  36203  11  44  18 1 1 1
  36204  12  44  18 1 1 1
  36205  13  44  18 1 1 1
  36206  14  44  18 1 1 1
  36207  15  44  18 1 1 1
  36208  16  44  18 1 1 1
  36209  17  44  18 1 1 1
  36210  18  44  18 1 1 1
  36211  19  44  18 1 1 1
  36212  20  44  18 1 1 1
  36213  21  44  18 1 1 1
  36214  22  44  18 1 1 1
  36215  23  44  18 1 1 1
  36216  24  44  18 1 1 1
  36217  25  44  18 1 1 1
  36218  26  44  18 1 1 1
  36219  27  44  18 1 1 1
  36220  28  44  18 1 1 1
  36221  29  44  18 1 1 1
  36222  30  44  18 1 1 1
  36223  31  44  18 1 1 1
  36224  32  44  18 1 1 1
  36225   1  45  18 1 1 1
  36226   2  45  18 1 1 1
  36227   3  45  18 1 1 1
  36228   4  45  18 1 1 1
  36229   5  45  18 1 1 1
  36230   6  45  18 1 1 1
  36231   7  45  18 1 1 1
  36232   8  45  18 1 1 1
  36233   9  45  18 1 1 1
  36234  10  45  18 1 1 1
  36235  11  45  18 1 1 1
  36236  12  45  18 1 1 1
  36237  13  45  18 1 1 1
  36238  14  45  18 1 1 1
  36239  15  45  18 1 1 1
  36240  16  45  18 1 1 1
  36241  17  45  18 1 1 1
  36242  18  45  18 1 1 1
  36243  19  45  18 1 1 1
  36244  20  45  18 1 1 1
  36245  21  45  18 1 1 1
  36246  22  45  18 1 1 1
  36247  23  45  18 1 1 1
  36248  24  45  18 1 1 1
  36249  25  45  18 1 1 1
  36250  26  45  18 1 1 1
  36251  27  45  18 1 1 1
  36252  28  45  18 1 1 1
  36253  29  45  18 1 1 1
  36254  30  45  18 1 1 1
  36255  31  45  18 1 1 1
  36256  32  45  18 1 1 1
  36257   1  46  18 1 1 1
  36258   2  46  18 1 1 1
  36259   3  46  18 1 1 1
  36260   4  46  18 1 1 1
  36261   5  46  18 1 1 1
  36262   6  46  18 1 1 1
  36263   7  46  18 1 1 1
  36264   8  46  18 1 1 1
  36265   9  46  18 1 1 1
  36266  10  46  18 1 1 1
  36267  11  46  18 1 1 1
  36268  12  46  18 1 1 1
  36269  13  46  18 1 1 1
  36270  14  46  18 1 1 1
  36271  15  46  18 1 1 1
  36272  16  46  18 1 1 1
  36273  17  46  18 1 1 1
  36274  18  46  18 1 1 1
  36275  19  46  18 1 1 1
  36276  20  46  18 1 1 1
  36277  21  46  18 1 1 1
  36278  22  46  18 1 1 1
  36279  23  46  18 1 1 1
  36280  24  46  18 1 1 1
  36281  25  46  18 1 1 1
  36282  26  46  18 1 1 1
  36283  27  46  18 1 1 1
  36284  28  46  18 1 1 1
  36285  29  46  18 1 1 1
  36286  30  46  18 1 1 1
  36287  31  46  18 1 1 1
  36288  32  46  18 1 1 1
  36289   1  47  18 1 1 1
  36290   2  47  18 1 1 1
  36291   3  47  18 1 1 1
  36292   4  47  18 1 1 1
  36293   5  47  18 1 1 1
  36294   6  47  18 1 1 1
  36295   7  47  18 1 1 1
  36296   8  47  18 1 1 1
  36297   9  47  18 1 1 1
  36298  10  47  18 1 1 1
  36299  11  47  18 1 1 1
  36300  12  47  18 1 1 1
  36301  13  47  18 1 1 1
  36302  14  47  18 1 1 1
  36303  15  47  18 1 1 1
  36304  16  47  18 1 1 1
  36305  17  47  18 1 1 1
  36306  18  47  18 1 1 1
  36307  19  47  18 1 1 1
  36308  20  47  18 1 1 1
  36309  21  47  18 1 1 1
  36310  22  47  18 1 1 1
  36311  23  47  18 1 1 1
  36312  24  47  18 1 1 1
  36313  25  47  18 1 1 1
  36314  26  47  18 1 1 1
  36315  27  47  18 1 1 1
  36316  28  47  18 1 1 1
  36317  29  47  18 1 1 1
  36318  30  47  18 1 1 1
  36319  31  47  18 1 1 1
  36320  32  47  18 1 1 1
  36321   1  48  18 1 1 1
  36322   2  48  18 1 1 1
  36323   3  48  18 1 1 1
  36324   4  48  18 1 1 1
  36325   5  48  18 1 1 1
  36326   6  48  18 1 1 1
  36327   7  48  18 1 1 1
  36328   8  48  18 1 1 1
  36329   9  48  18 1 1 1
  36330  10  48  18 1 1 1
  36331  11  48  18 1 1 1
  36332  12  48  18 1 1 1
  36333  13  48  18 1 1 1
  36334  14  48  18 1 1 1
  36335  15  48  18 1 1 1
  36336  16  48  18 1 1 1
  36337  17  48  18 1 1 1
  36338  18  48  18 1 1 1
  36339  19  48  18 1 1 1
  36340  20  48  18 1 1 1
  36341  21  48  18 1 1 1
  36342  22  48  18 1 1 1
  36343  23  48  18 1 1 1
  36344  24  48  18 1 1 1
  36345  25  48  18 1 1 1
  36346  26  48  18 1 1 1
  36347  27  48  18 1 1 1
  36348  28  48  18 1 1 1
  36349  29  48  18 1 1 1
  36350  30  48  18 1 1 1
  36351  31  48  18 1 1 1
  36352  32  48  18 1 1 1
  36353   1  49  18 1 1 1
  36354   2  49  18 1 1 1
  36355   3  49  18 1 1 1
  36356   4  49  18 1 1 1
  36357   5  49  18 1 1 1
  36358   6  49  18 1 1 1
  36359   7  49  18 1 1 1
  36360   8  49  18 1 1 1
  36361   9  49  18 1 1 1
  36362  10  49  18 1 1 1
  36363  11  49  18 1 1 1
  36364  12  49  18 1 1 1
  36365  13  49  18 1 1 1
  36366  14  49  18 1 1 1
  36367  15  49  18 1 1 1
  36368  16  49  18 1 1 1
  36369  17  49  18 1 1 1
  36370  18  49  18 1 1 1
  36371  19  49  18 1 1 1
  36372  20  49  18 1 1 1
  36373  21  49  18 1 1 1
  36374  22  49  18 1 1 1
  36375  23  49  18 1 1 1
  36376  24  49  18 1 1 1
  36377  25  49  18 1 1 1
  36378  26  49  18 1 1 1
  36379  27  49  18 1 1 1
  36380  28  49  18 1 1 1
  36381  29  49  18 1 1 1
  36382  30  49  18 1 1 1
  36383  31  49  18 1 1 1
  36384  32  49  18 1 1 1
  36385   1  50  18 1 1 1
  36386   2  50  18 1 1 1
  36387   3  50  18 1 1 1
  36388   4  50  18 1 1 1
  36389   5  50  18 1 1 1
  36390   6  50  18 1 1 1
  36391   7  50  18 1 1 1
  36392   8  50  18 1 1 1
  36393   9  50  18 1 1 1
  36394  10  50  18 1 1 1
  36395  11  50  18 1 1 1
  36396  12  50  18 1 1 1
  36397  13  50  18 1 1 1
  36398  14  50  18 1 1 1
  36399  15  50  18 1 1 1
  36400  16  50  18 1 1 1
  36401  17  50  18 1 1 1
  36402  18  50  18 1 1 1
  36403  19  50  18 1 1 1
  36404  20  50  18 1 1 1
  36405  21  50  18 1 1 1
  36406  22  50  18 1 1 1
  36407  23  50  18 1 1 1
  36408  24  50  18 1 1 1
  36409  25  50  18 1 1 1
  36410  26  50  18 1 1 1
  36411  27  50  18 1 1 1
  36412  28  50  18 1 1 1
  36413  29  50  18 1 1 1
  36414  30  50  18 1 1 1
  36415  31  50  18 1 1 1
  36416  32  50  18 1 1 1
  36417   1  51  18 1 1 1
  36418   2  51  18 1 1 1
  36419   3  51  18 1 1 1
  36420   4  51  18 1 1 1
  36421   5  51  18 1 1 1
  36422   6  51  18 1 1 1
  36423   7  51  18 1 1 1
  36424   8  51  18 1 1 1
  36425   9  51  18 1 1 1
  36426  10  51  18 1 1 1
  36427  11  51  18 1 1 1
  36428  12  51  18 1 1 1
  36429  13  51  18 1 1 1
  36430  14  51  18 1 1 1
  36431  15  51  18 1 1 1
  36432  16  51  18 1 1 1
  36433  17  51  18 1 1 1
  36434  18  51  18 1 1 1
  36435  19  51  18 1 1 1
  36436  20  51  18 1 1 1
  36437  21  51  18 1 1 1
  36438  22  51  18 1 1 1
  36439  23  51  18 1 1 1
  36440  24  51  18 1 1 1
  36441  25  51  18 1 1 1
  36442  26  51  18 1 1 1
  36443  27  51  18 1 1 1
  36444  28  51  18 1 1 1
  36445  29  51  18 1 1 1
  36446  30  51  18 1 1 1
  36447  31  51  18 1 1 1
  36448  32  51  18 1 1 1
  36449   1  52  18 1 1 1
  36450   2  52  18 1 1 1
  36451   3  52  18 1 1 1
  36452   4  52  18 1 1 1
  36453   5  52  18 1 1 1
  36454   6  52  18 1 1 1
  36455   7  52  18 1 1 1
  36456   8  52  18 1 1 1
  36457   9  52  18 1 1 1
  36458  10  52  18 1 1 1
  36459  11  52  18 1 1 1
  36460  12  52  18 1 1 1
  36461  13  52  18 1 1 1
  36462  14  52  18 1 1 1
  36463  15  52  18 1 1 1
  36464  16  52  18 1 1 1
  36465  17  52  18 1 1 1
  36466  18  52  18 1 1 1
  36467  19  52  18 1 1 1
  36468  20  52  18 1 1 1
  36469  21  52  18 1 1 1
  36470  22  52  18 1 1 1
  36471  23  52  18 1 1 1
  36472  24  52  18 1 1 1
  36473  25  52  18 1 1 1
  36474  26  52  18 1 1 1
  36475  27  52  18 1 1 1
  36476  28  52  18 1 1 1
  36477  29  52  18 1 1 1
  36478  30  52  18 1 1 1
  36479  31  52  18 1 1 1
  36480  32  52  18 1 1 1
  36481   1  53  18 1 1 1
  36482   2  53  18 1 1 1
  36483   3  53  18 1 1 1
  36484   4  53  18 1 1 1
  36485   5  53  18 1 1 1
  36486   6  53  18 1 1 1
  36487   7  53  18 1 1 1
  36488   8  53  18 1 1 1
  36489   9  53  18 1 1 1
  36490  10  53  18 1 1 1
  36491  11  53  18 1 1 1
  36492  12  53  18 1 1 1
  36493  13  53  18 1 1 1
  36494  14  53  18 1 1 1
  36495  15  53  18 1 1 1
  36496  16  53  18 1 1 1
  36497  17  53  18 1 1 1
  36498  18  53  18 1 1 1
  36499  19  53  18 1 1 1
  36500  20  53  18 1 1 1
  36501  21  53  18 1 1 1
  36502  22  53  18 1 1 1
  36503  23  53  18 1 1 1
  36504  24  53  18 1 1 1
  36505  25  53  18 1 1 1
  36506  26  53  18 1 1 1
  36507  27  53  18 1 1 1
  36508  28  53  18 1 1 1
  36509  29  53  18 1 1 1
  36510  30  53  18 1 1 1
  36511  31  53  18 1 1 1
  36512  32  53  18 1 1 1
  36513   1  54  18 1 1 1
  36514   2  54  18 1 1 1
  36515   3  54  18 1 1 1
  36516   4  54  18 1 1 1
  36517   5  54  18 1 1 1
  36518   6  54  18 1 1 1
  36519   7  54  18 1 1 1
  36520   8  54  18 1 1 1
  36521   9  54  18 1 1 1
  36522  10  54  18 1 1 1
  36523  11  54  18 1 1 1
  36524  12  54  18 1 1 1
  36525  13  54  18 1 1 1
  36526  14  54  18 1 1 1
  36527  15  54  18 1 1 1
  36528  16  54  18 1 1 1
  36529  17  54  18 1 1 1
  36530  18  54  18 1 1 1
  36531  19  54  18 1 1 1
  36532  20  54  18 1 1 1
  36533  21  54  18 1 1 1
  36534  22  54  18 1 1 1
  36535  23  54  18 1 1 1
  36536  24  54  18 1 1 1
  36537  25  54  18 1 1 1
  36538  26  54  18 1 1 1
  36539  27  54  18 1 1 1
  36540  28  54  18 1 1 1
  36541  29  54  18 1 1 1
  36542  30  54  18 1 1 1
  36543  31  54  18 1 1 1
  36544  32  54  18 1 1 1
  36545   1  55  18 1 1 1
  36546   2  55  18 1 1 1
  36547   3  55  18 1 1 1
  36548   4  55  18 1 1 1
  36549   5  55  18 1 1 1
  36550   6  55  18 1 1 1
  36551   7  55  18 1 1 1
  36552   8  55  18 1 1 1
  36553   9  55  18 1 1 1
  36554  10  55  18 1 1 1
  36555  11  55  18 1 1 1
  36556  12  55  18 1 1 1
  36557  13  55  18 1 1 1
  36558  14  55  18 1 1 1
  36559  15  55  18 1 1 1
  36560  16  55  18 1 1 1
  36561  17  55  18 1 1 1
  36562  18  55  18 1 1 1
  36563  19  55  18 1 1 1
  36564  20  55  18 1 1 1
  36565  21  55  18 1 1 1
  36566  22  55  18 1 1 1
  36567  23  55  18 1 1 1
  36568  24  55  18 1 1 1
  36569  25  55  18 1 1 1
  36570  26  55  18 1 1 1
  36571  27  55  18 1 1 1
  36572  28  55  18 1 1 1
  36573  29  55  18 1 1 1
  36574  30  55  18 1 1 1
  36575  31  55  18 1 1 1
  36576  32  55  18 1 1 1
  36577   1  56  18 1 1 1
  36578   2  56  18 1 1 1
  36579   3  56  18 1 1 1
  36580   4  56  18 1 1 1
  36581   5  56  18 1 1 1
  36582   6  56  18 1 1 1
  36583   7  56  18 1 1 1
  36584   8  56  18 1 1 1
  36585   9  56  18 1 1 1
  36586  10  56  18 1 1 1
  36587  11  56  18 1 1 1
  36588  12  56  18 1 1 1
  36589  13  56  18 1 1 1
  36590  14  56  18 1 1 1
  36591  15  56  18 1 1 1
  36592  16  56  18 1 1 1
  36593  17  56  18 1 1 1
  36594  18  56  18 1 1 1
  36595  19  56  18 1 1 1
  36596  20  56  18 1 1 1
  36597  21  56  18 1 1 1
  36598  22  56  18 1 1 1
  36599  23  56  18 1 1 1
  36600  24  56  18 1 1 1
  36601  25  56  18 1 1 1
  36602  26  56  18 1 1 1
  36603  27  56  18 1 1 1
  36604  28  56  18 1 1 1
  36605  29  56  18 1 1 1
  36606  30  56  18 1 1 1
  36607  31  56  18 1 1 1
  36608  32  56  18 1 1 1
  36609   1  57  18 1 1 1
  36610   2  57  18 1 1 1
  36611   3  57  18 1 1 1
  36612   4  57  18 1 1 1
  36613   5  57  18 1 1 1
  36614   6  57  18 1 1 1
  36615   7  57  18 1 1 1
  36616   8  57  18 1 1 1
  36617   9  57  18 1 1 1
  36618  10  57  18 1 1 1
  36619  11  57  18 1 1 1
  36620  12  57  18 1 1 1
  36621  13  57  18 1 1 1
  36622  14  57  18 1 1 1
  36623  15  57  18 1 1 1
  36624  16  57  18 1 1 1
  36625  17  57  18 1 1 1
  36626  18  57  18 1 1 1
  36627  19  57  18 1 1 1
  36628  20  57  18 1 1 1
  36629  21  57  18 1 1 1
  36630  22  57  18 1 1 1
  36631  23  57  18 1 1 1
  36632  24  57  18 1 1 1
  36633  25  57  18 1 1 1
  36634  26  57  18 1 1 1
  36635  27  57  18 1 1 1
  36636  28  57  18 1 1 1
  36637  29  57  18 1 1 1
  36638  30  57  18 1 1 1
  36639  31  57  18 1 1 1
  36640  32  57  18 1 1 1
  36641   1  58  18 1 1 1
  36642   2  58  18 1 1 1
  36643   3  58  18 1 1 1
  36644   4  58  18 1 1 1
  36645   5  58  18 1 1 1
  36646   6  58  18 1 1 1
  36647   7  58  18 1 1 1
  36648   8  58  18 1 1 1
  36649   9  58  18 1 1 1
  36650  10  58  18 1 1 1
  36651  11  58  18 1 1 1
  36652  12  58  18 1 1 1
  36653  13  58  18 1 1 1
  36654  14  58  18 1 1 1
  36655  15  58  18 1 1 1
  36656  16  58  18 1 1 1
  36657  17  58  18 1 1 1
  36658  18  58  18 1 1 1
  36659  19  58  18 1 1 1
  36660  20  58  18 1 1 1
  36661  21  58  18 1 1 1
  36662  22  58  18 1 1 1
  36663  23  58  18 1 1 1
  36664  24  58  18 1 1 1
  36665  25  58  18 1 1 1
  36666  26  58  18 1 1 1
  36667  27  58  18 1 1 1
  36668  28  58  18 1 1 1
  36669  29  58  18 1 1 1
  36670  30  58  18 1 1 1
  36671  31  58  18 1 1 1
  36672  32  58  18 1 1 1
  36673   1  59  18 1 1 1
  36674   2  59  18 1 1 1
  36675   3  59  18 1 1 1
  36676   4  59  18 1 1 1
  36677   5  59  18 1 1 1
  36678   6  59  18 1 1 1
  36679   7  59  18 1 1 1
  36680   8  59  18 1 1 1
  36681   9  59  18 1 1 1
  36682  10  59  18 1 1 1
  36683  11  59  18 1 1 1
  36684  12  59  18 1 1 1
  36685  13  59  18 1 1 1
  36686  14  59  18 1 1 1
  36687  15  59  18 1 1 1
  36688  16  59  18 1 1 1
  36689  17  59  18 1 1 1
  36690  18  59  18 1 1 1
  36691  19  59  18 1 1 1
  36692  20  59  18 1 1 1
  36693  21  59  18 1 1 1
  36694  22  59  18 1 1 1
  36695  23  59  18 1 1 1
  36696  24  59  18 1 1 1
  36697  25  59  18 1 1 1
  36698  26  59  18 1 1 1
  36699  27  59  18 1 1 1
  36700  28  59  18 1 1 1
  36701  29  59  18 1 1 1
  36702  30  59  18 1 1 1
  36703  31  59  18 1 1 1
  36704  32  59  18 1 1 1
  36705   1  60  18 1 1 1
  36706   2  60  18 1 1 1
  36707   3  60  18 1 1 1
  36708   4  60  18 1 1 1
  36709   5  60  18 1 1 1
  36710   6  60  18 1 1 1
  36711   7  60  18 1 1 1
  36712   8  60  18 1 1 1
  36713   9  60  18 1 1 1
  36714  10  60  18 1 1 1
  36715  11  60  18 1 1 1
  36716  12  60  18 1 1 1
  36717  13  60  18 1 1 1
  36718  14  60  18 1 1 1
  36719  15  60  18 1 1 1
  36720  16  60  18 1 1 1
  36721  17  60  18 1 1 1
  36722  18  60  18 1 1 1
  36723  19  60  18 1 1 1
  36724  20  60  18 1 1 1
  36725  21  60  18 1 1 1
  36726  22  60  18 1 1 1
  36727  23  60  18 1 1 1
  36728  24  60  18 1 1 1
  36729  25  60  18 1 1 1
  36730  26  60  18 1 1 1
  36731  27  60  18 1 1 1
  36732  28  60  18 1 1 1
  36733  29  60  18 1 1 1
  36734  30  60  18 1 1 1
  36735  31  60  18 1 1 1
  36736  32  60  18 1 1 1
  36737   1  61  18 1 1 1
  36738   2  61  18 1 1 1
  36739   3  61  18 1 1 1
  36740   4  61  18 1 1 1
  36741   5  61  18 1 1 1
  36742   6  61  18 1 1 1
  36743   7  61  18 1 1 1
  36744   8  61  18 1 1 1
  36745   9  61  18 1 1 1
  36746  10  61  18 1 1 1
  36747  11  61  18 1 1 1
  36748  12  61  18 1 1 1
  36749  13  61  18 1 1 1
  36750  14  61  18 1 1 1
  36751  15  61  18 1 1 1
  36752  16  61  18 1 1 1
  36753  17  61  18 1 1 1
  36754  18  61  18 1 1 1
  36755  19  61  18 1 1 1
  36756  20  61  18 1 1 1
  36757  21  61  18 1 1 1
  36758  22  61  18 1 1 1
  36759  23  61  18 1 1 1
  36760  24  61  18 1 1 1
  36761  25  61  18 1 1 1
  36762  26  61  18 1 1 1
  36763  27  61  18 1 1 1
  36764  28  61  18 1 1 1
  36765  29  61  18 1 1 1
  36766  30  61  18 1 1 1
  36767  31  61  18 1 1 1
  36768  32  61  18 1 1 1
  36769   1  62  18 1 1 1
  36770   2  62  18 1 1 1
  36771   3  62  18 1 1 1
  36772   4  62  18 1 1 1
  36773   5  62  18 1 1 1
  36774   6  62  18 1 1 1
  36775   7  62  18 1 1 1
  36776   8  62  18 1 1 1
  36777   9  62  18 1 1 1
  36778  10  62  18 1 1 1
  36779  11  62  18 1 1 1
  36780  12  62  18 1 1 1
  36781  13  62  18 1 1 1
  36782  14  62  18 1 1 1
  36783  15  62  18 1 1 1
  36784  16  62  18 1 1 1
  36785  17  62  18 1 1 1
  36786  18  62  18 1 1 1
  36787  19  62  18 1 1 1
  36788  20  62  18 1 1 1
  36789  21  62  18 1 1 1
  36790  22  62  18 1 1 1
  36791  23  62  18 1 1 1
  36792  24  62  18 1 1 1
  36793  25  62  18 1 1 1
  36794  26  62  18 1 1 1
  36795  27  62  18 1 1 1
  36796  28  62  18 1 1 1
  36797  29  62  18 1 1 1
  36798  30  62  18 1 1 1
  36799  31  62  18 1 1 1
  36800  32  62  18 1 1 1
  36801   1  63  18 1 1 1
  36802   2  63  18 1 1 1
  36803   3  63  18 1 1 1
  36804   4  63  18 1 1 1
  36805   5  63  18 1 1 1
  36806   6  63  18 1 1 1
  36807   7  63  18 1 1 1
  36808   8  63  18 1 1 1
  36809   9  63  18 1 1 1
  36810  10  63  18 1 1 1
  36811  11  63  18 1 1 1
  36812  12  63  18 1 1 1
  36813  13  63  18 1 1 1
  36814  14  63  18 1 1 1
  36815  15  63  18 1 1 1
  36816  16  63  18 1 1 1
  36817  17  63  18 1 1 1
  36818  18  63  18 1 1 1
  36819  19  63  18 1 1 1
  36820  20  63  18 1 1 1
  36821  21  63  18 1 1 1
  36822  22  63  18 1 1 1
  36823  23  63  18 1 1 1
  36824  24  63  18 1 1 1
  36825  25  63  18 1 1 1
  36826  26  63  18 1 1 1
  36827  27  63  18 1 1 1
  36828  28  63  18 1 1 1
  36829  29  63  18 1 1 1
  36830  30  63  18 1 1 1
  36831  31  63  18 1 1 1
  36832  32  63  18 1 1 1
  36833   1  64  18 1 1 1
  36834   2  64  18 1 1 1
  36835   3  64  18 1 1 1
  36836   4  64  18 1 1 1
  36837   5  64  18 1 1 1
  36838   6  64  18 1 1 1
  36839   7  64  18 1 1 1
  36840   8  64  18 1 1 1
  36841   9  64  18 1 1 1
  36842  10  64  18 1 1 1
  36843  11  64  18 1 1 1
  36844  12  64  18 1 1 1
  36845  13  64  18 1 1 1
  36846  14  64  18 1 1 1
  36847  15  64  18 1 1 1
  36848  16  64  18 1 1 1
  36849  17  64  18 1 1 1
  36850  18  64  18 1 1 1
  36851  19  64  18 1 1 1
  36852  20  64  18 1 1 1
  36853  21  64  18 1 1 1
  36854  22  64  18 1 1 1
  36855  23  64  18 1 1 1
  36856  24  64  18 1 1 1
  36857  25  64  18 1 1 1
  36858  26  64  18 1 1 1
  36859  27  64  18 1 1 1
  36860  28  64  18 1 1 1
  36861  29  64  18 1 1 1
  36862  30  64  18 1 1 1
  36863  31  64  18 1 1 1
  36864  32  64  18 1 1 1
  36865   1   1  19 1 1 1
  36866   2   1  19 1 1 1
  36867   3   1  19 1 1 1
  36868   4   1  19 1 1 1
  36869   5   1  19 1 1 1
  36870   6   1  19 1 1 1
  36871   7   1  19 1 1 1
  36872   8   1  19 1 1 1
  36873   9   1  19 1 1 1
  36874  10   1  19 1 1 1
  36875  11   1  19 1 1 1
  36876  12   1  19 1 1 1
  36877  13   1  19 1 1 1
  36878  14   1  19 1 1 1
  36879  15   1  19 1 1 1
  36880  16   1  19 1 1 1
  36881  17   1  19 1 1 1
  36882  18   1  19 1 1 1
  36883  19   1  19 1 1 1
  36884  20   1  19 1 1 1
  36885  21   1  19 1 1 1
  36886  22   1  19 1 1 1
  36887  23   1  19 1 1 1
  36888  24   1  19 1 1 1
  36889  25   1  19 1 1 1
  36890  26   1  19 1 1 1
  36891  27   1  19 1 1 1
  36892  28   1  19 1 1 1
  36893  29   1  19 1 1 1
  36894  30   1  19 1 1 1
  36895  31   1  19 1 1 1
  36896  32   1  19 1 1 1
  36897   1   2  19 1 1 1
  36898   2   2  19 1 1 1
  36899   3   2  19 1 1 1
  36900   4   2  19 1 1 1
  36901   5   2  19 1 1 1
  36902   6   2  19 1 1 1
  36903   7   2  19 1 1 1
  36904   8   2  19 1 1 1
  36905   9   2  19 1 1 1
  36906  10   2  19 1 1 1
  36907  11   2  19 1 1 1
  36908  12   2  19 1 1 1
  36909  13   2  19 1 1 1
  36910  14   2  19 1 1 1
  36911  15   2  19 1 1 1
  36912  16   2  19 1 1 1
  36913  17   2  19 1 1 1
  36914  18   2  19 1 1 1
  36915  19   2  19 1 1 1
  36916  20   2  19 1 1 1
  36917  21   2  19 1 1 1
  36918  22   2  19 1 1 1
  36919  23   2  19 1 1 1
  36920  24   2  19 1 1 1
  36921  25   2  19 1 1 1
  36922  26   2  19 1 1 1
  36923  27   2  19 1 1 1
  36924  28   2  19 1 1 1
  36925  29   2  19 1 1 1
  36926  30   2  19 1 1 1
  36927  31   2  19 1 1 1
  36928  32   2  19 1 1 1
  36929   1   3  19 1 1 1
  36930   2   3  19 1 1 1
  36931   3   3  19 1 1 1
  36932   4   3  19 1 1 1
  36933   5   3  19 1 1 1
  36934   6   3  19 1 1 1
  36935   7   3  19 1 1 1
  36936   8   3  19 1 1 1
  36937   9   3  19 1 1 1
  36938  10   3  19 1 1 1
  36939  11   3  19 1 1 1
  36940  12   3  19 1 1 1
  36941  13   3  19 1 1 1
  36942  14   3  19 1 1 1
  36943  15   3  19 1 1 1
  36944  16   3  19 1 1 1
  36945  17   3  19 1 1 1
  36946  18   3  19 1 1 1
  36947  19   3  19 1 1 1
  36948  20   3  19 1 1 1
  36949  21   3  19 1 1 1
  36950  22   3  19 1 1 1
  36951  23   3  19 1 1 1
  36952  24   3  19 1 1 1
  36953  25   3  19 1 1 1
  36954  26   3  19 1 1 1
  36955  27   3  19 1 1 1
  36956  28   3  19 1 1 1
  36957  29   3  19 1 1 1
  36958  30   3  19 1 1 1
  36959  31   3  19 1 1 1
  36960  32   3  19 1 1 1
  36961   1   4  19 1 1 1
  36962   2   4  19 1 1 1
  36963   3   4  19 1 1 1
  36964   4   4  19 1 1 1
  36965   5   4  19 1 1 1
  36966   6   4  19 1 1 1
  36967   7   4  19 1 1 1
  36968   8   4  19 1 1 1
  36969   9   4  19 1 1 1
  36970  10   4  19 1 1 1
  36971  11   4  19 1 1 1
  36972  12   4  19 1 1 1
  36973  13   4  19 1 1 1
  36974  14   4  19 1 1 1
  36975  15   4  19 1 1 1
  36976  16   4  19 1 1 1
  36977  17   4  19 1 1 1
  36978  18   4  19 1 1 1
  36979  19   4  19 1 1 1
  36980  20   4  19 1 1 1
  36981  21   4  19 1 1 1
  36982  22   4  19 1 1 1
  36983  23   4  19 1 1 1
  36984  24   4  19 1 1 1
  36985  25   4  19 1 1 1
  36986  26   4  19 1 1 1
  36987  27   4  19 1 1 1
  36988  28   4  19 1 1 1
  36989  29   4  19 1 1 1
  36990  30   4  19 1 1 1
  36991  31   4  19 1 1 1
  36992  32   4  19 1 1 1
  36993   1   5  19 1 1 1
  36994   2   5  19 1 1 1
  36995   3   5  19 1 1 1
  36996   4   5  19 1 1 1
  36997   5   5  19 1 1 1
