 >TARREC   rectangular prism; AX,AY,AZ= 32.0000 64.0000 64.0000
    131072 = NAT 
  1.000000  0.000000  0.000000 = A_1 vector
  0.000000  1.000000  0.000000 = A_2 vector
  1.000000  1.000000  1.000000 = lattice spacings (d_x,d_y,d_z)/d
 -32.50000 -32.50000 -32.50000 = lattice offset x0(1-3) = (x_TF,y_TF,z_TF)/d for dipole 0 0 0
     JA  IX  IY  IZ ICOMP(x,y,z)
    199   7   7   1 1 1 1
    200   8   7   1 1 1 1
    201   9   7   1 1 1 1
    202  10   7   1 1 1 1
    203  11   7   1 1 1 1
    204  12   7   1 1 1 1
    205  13   7   1 1 1 1
    206  14   7   1 1 1 1
    207  15   7   1 1 1 1
    208  16   7   1 1 1 1
    209  17   7   1 1 1 1
    210  18   7   1 1 1 1
    211  19   7   1 1 1 1
    212  20   7   1 1 1 1
    213  21   7   1 1 1 1
    214  22   7   1 1 1 1
    215  23   7   1 1 1 1
    216  24   7   1 1 1 1
    217  25   7   1 1 1 1
    218  26   7   1 1 1 1
    219  27   7   1 1 1 1
    220  28   7   1 1 1 1
    221  29   7   1 1 1 1
    222  30   7   1 1 1 1
    223  31   7   1 1 1 1
    224  32   7   1 1 1 1
    225   1   8   1 1 1 1
    226   2   8   1 1 1 1
    227   3   8   1 1 1 1
    228   4   8   1 1 1 1
    229   5   8   1 1 1 1
    230   6   8   1 1 1 1
    231   7   8   1 1 1 1
    232   8   8   1 1 1 1
    233   9   8   1 1 1 1
    234  10   8   1 1 1 1
    235  11   8   1 1 1 1
    236  12   8   1 1 1 1
    237  13   8   1 1 1 1
    238  14   8   1 1 1 1
    239  15   8   1 1 1 1
    240  16   8   1 1 1 1
    241  17   8   1 1 1 1
    242  18   8   1 1 1 1
    243  19   8   1 1 1 1
    244  20   8   1 1 1 1
    245  21   8   1 1 1 1
    246  22   8   1 1 1 1
    247  23   8   1 1 1 1
    248  24   8   1 1 1 1
    249  25   8   1 1 1 1
    250  26   8   1 1 1 1
    251  27   8   1 1 1 1
    252  28   8   1 1 1 1
    253  29   8   1 1 1 1
    254  30   8   1 1 1 1
    255  31   8   1 1 1 1
    256  32   8   1 1 1 1
    257   1   9   1 1 1 1
    258   2   9   1 1 1 1
    259   3   9   1 1 1 1
    260   4   9   1 1 1 1
    261   5   9   1 1 1 1
    262   6   9   1 1 1 1
    263   7   9   1 1 1 1
    264   8   9   1 1 1 1
    265   9   9   1 1 1 1
    266  10   9   1 1 1 1
    267  11   9   1 1 1 1
    268  12   9   1 1 1 1
    269  13   9   1 1 1 1
    270  14   9   1 1 1 1
    271  15   9   1 1 1 1
    272  16   9   1 1 1 1
    273  17   9   1 1 1 1
    274  18   9   1 1 1 1
    275  19   9   1 1 1 1
    276  20   9   1 1 1 1
    277  21   9   1 1 1 1
    278  22   9   1 1 1 1
    279  23   9   1 1 1 1
    280  24   9   1 1 1 1
    281  25   9   1 1 1 1
    282  26   9   1 1 1 1
    283  27   9   1 1 1 1
    284  28   9   1 1 1 1
    285  29   9   1 1 1 1
    286  30   9   1 1 1 1
    287  31   9   1 1 1 1
    288  32   9   1 1 1 1
    289   1  10   1 1 1 1
    290   2  10   1 1 1 1
    291   3  10   1 1 1 1
    292   4  10   1 1 1 1
    293   5  10   1 1 1 1
    294   6  10   1 1 1 1
    295   7  10   1 1 1 1
    296   8  10   1 1 1 1
    297   9  10   1 1 1 1
    298  10  10   1 1 1 1
    299  11  10   1 1 1 1
    300  12  10   1 1 1 1
    301  13  10   1 1 1 1
    302  14  10   1 1 1 1
    303  15  10   1 1 1 1
    304  16  10   1 1 1 1
    305  17  10   1 1 1 1
    306  18  10   1 1 1 1
    307  19  10   1 1 1 1
    308  20  10   1 1 1 1
    309  21  10   1 1 1 1
    310  22  10   1 1 1 1
    311  23  10   1 1 1 1
    312  24  10   1 1 1 1
    313  25  10   1 1 1 1
    314  26  10   1 1 1 1
    315  27  10   1 1 1 1
    316  28  10   1 1 1 1
    317  29  10   1 1 1 1
    318  30  10   1 1 1 1
    319  31  10   1 1 1 1
    320  32  10   1 1 1 1
    321   1  11   1 1 1 1
    322   2  11   1 1 1 1
    323   3  11   1 1 1 1
    324   4  11   1 1 1 1
    325   5  11   1 1 1 1
    326   6  11   1 1 1 1
    327   7  11   1 1 1 1
    328   8  11   1 1 1 1
    329   9  11   1 1 1 1
    330  10  11   1 1 1 1
    331  11  11   1 1 1 1
    332  12  11   1 1 1 1
    333  13  11   1 1 1 1
    334  14  11   1 1 1 1
    335  15  11   1 1 1 1
    336  16  11   1 1 1 1
    337  17  11   1 1 1 1
    338  18  11   1 1 1 1
    339  19  11   1 1 1 1
    340  20  11   1 1 1 1
    341  21  11   1 1 1 1
    342  22  11   1 1 1 1
    343  23  11   1 1 1 1
    344  24  11   1 1 1 1
    345  25  11   1 1 1 1
    346  26  11   1 1 1 1
    347  27  11   1 1 1 1
    348  28  11   1 1 1 1
    349  29  11   1 1 1 1
    350  30  11   1 1 1 1
    351  31  11   1 1 1 1
    352  32  11   1 1 1 1
    353   1  12   1 1 1 1
    354   2  12   1 1 1 1
    355   3  12   1 1 1 1
    356   4  12   1 1 1 1
    357   5  12   1 1 1 1
    358   6  12   1 1 1 1
    359   7  12   1 1 1 1
    360   8  12   1 1 1 1
    361   9  12   1 1 1 1
    362  10  12   1 1 1 1
    363  11  12   1 1 1 1
    364  12  12   1 1 1 1
    365  13  12   1 1 1 1
    366  14  12   1 1 1 1
    367  15  12   1 1 1 1
    368  16  12   1 1 1 1
    369  17  12   1 1 1 1
    370  18  12   1 1 1 1
    371  19  12   1 1 1 1
    372  20  12   1 1 1 1
    373  21  12   1 1 1 1
    374  22  12   1 1 1 1
    375  23  12   1 1 1 1
    376  24  12   1 1 1 1
    377  25  12   1 1 1 1
    378  26  12   1 1 1 1
    379  27  12   1 1 1 1
    380  28  12   1 1 1 1
    381  29  12   1 1 1 1
    382  30  12   1 1 1 1
    383  31  12   1 1 1 1
    384  32  12   1 1 1 1
    385   1  13   1 1 1 1
    386   2  13   1 1 1 1
    387   3  13   1 1 1 1
    388   4  13   1 1 1 1
    389   5  13   1 1 1 1
    390   6  13   1 1 1 1
    391   7  13   1 1 1 1
    392   8  13   1 1 1 1
    393   9  13   1 1 1 1
    394  10  13   1 1 1 1
    395  11  13   1 1 1 1
    396  12  13   1 1 1 1
    397  13  13   1 1 1 1
    398  14  13   1 1 1 1
    399  15  13   1 1 1 1
    400  16  13   1 1 1 1
    401  17  13   1 1 1 1
    402  18  13   1 1 1 1
    403  19  13   1 1 1 1
    404  20  13   1 1 1 1
    405  21  13   1 1 1 1
    406  22  13   1 1 1 1
    407  23  13   1 1 1 1
    408  24  13   1 1 1 1
    409  25  13   1 1 1 1
    410  26  13   1 1 1 1
    411  27  13   1 1 1 1
    412  28  13   1 1 1 1
    413  29  13   1 1 1 1
    414  30  13   1 1 1 1
    415  31  13   1 1 1 1
    416  32  13   1 1 1 1
    417   1  14   1 1 1 1
    418   2  14   1 1 1 1
    419   3  14   1 1 1 1
    420   4  14   1 1 1 1
    421   5  14   1 1 1 1
    422   6  14   1 1 1 1
    423   7  14   1 1 1 1
    424   8  14   1 1 1 1
    425   9  14   1 1 1 1
    426  10  14   1 1 1 1
    427  11  14   1 1 1 1
    428  12  14   1 1 1 1
    429  13  14   1 1 1 1
    430  14  14   1 1 1 1
    431  15  14   1 1 1 1
    432  16  14   1 1 1 1
    433  17  14   1 1 1 1
    434  18  14   1 1 1 1
    435  19  14   1 1 1 1
    436  20  14   1 1 1 1
    437  21  14   1 1 1 1
    438  22  14   1 1 1 1
    439  23  14   1 1 1 1
    440  24  14   1 1 1 1
    441  25  14   1 1 1 1
    442  26  14   1 1 1 1
    443  27  14   1 1 1 1
    444  28  14   1 1 1 1
    445  29  14   1 1 1 1
    446  30  14   1 1 1 1
    447  31  14   1 1 1 1
    448  32  14   1 1 1 1
    449   1  15   1 1 1 1
    450   2  15   1 1 1 1
    451   3  15   1 1 1 1
    452   4  15   1 1 1 1
    453   5  15   1 1 1 1
    454   6  15   1 1 1 1
    455   7  15   1 1 1 1
    456   8  15   1 1 1 1
    457   9  15   1 1 1 1
    458  10  15   1 1 1 1
    459  11  15   1 1 1 1
    460  12  15   1 1 1 1
    461  13  15   1 1 1 1
    462  14  15   1 1 1 1
    463  15  15   1 1 1 1
    464  16  15   1 1 1 1
    465  17  15   1 1 1 1
    466  18  15   1 1 1 1
    467  19  15   1 1 1 1
    468  20  15   1 1 1 1
    469  21  15   1 1 1 1
    470  22  15   1 1 1 1
    471  23  15   1 1 1 1
    472  24  15   1 1 1 1
    473  25  15   1 1 1 1
    474  26  15   1 1 1 1
    475  27  15   1 1 1 1
    476  28  15   1 1 1 1
    477  29  15   1 1 1 1
    478  30  15   1 1 1 1
    479  31  15   1 1 1 1
    480  32  15   1 1 1 1
    481   1  16   1 1 1 1
    482   2  16   1 1 1 1
    483   3  16   1 1 1 1
    484   4  16   1 1 1 1
    485   5  16   1 1 1 1
    486   6  16   1 1 1 1
    487   7  16   1 1 1 1
    488   8  16   1 1 1 1
    489   9  16   1 1 1 1
    490  10  16   1 1 1 1
    491  11  16   1 1 1 1
    492  12  16   1 1 1 1
    493  13  16   1 1 1 1
    494  14  16   1 1 1 1
    495  15  16   1 1 1 1
    496  16  16   1 1 1 1
    497  17  16   1 1 1 1
    498  18  16   1 1 1 1
    499  19  16   1 1 1 1
    500  20  16   1 1 1 1
    501  21  16   1 1 1 1
    502  22  16   1 1 1 1
    503  23  16   1 1 1 1
    504  24  16   1 1 1 1
    505  25  16   1 1 1 1
    506  26  16   1 1 1 1
    507  27  16   1 1 1 1
    508  28  16   1 1 1 1
    509  29  16   1 1 1 1
    510  30  16   1 1 1 1
    511  31  16   1 1 1 1
    512  32  16   1 1 1 1
    513   1  17   1 1 1 1
    514   2  17   1 1 1 1
    515   3  17   1 1 1 1
    516   4  17   1 1 1 1
    517   5  17   1 1 1 1
    518   6  17   1 1 1 1
    519   7  17   1 1 1 1
    520   8  17   1 1 1 1
    521   9  17   1 1 1 1
    522  10  17   1 1 1 1
    523  11  17   1 1 1 1
    524  12  17   1 1 1 1
    525  13  17   1 1 1 1
    526  14  17   1 1 1 1
    527  15  17   1 1 1 1
    528  16  17   1 1 1 1
    529  17  17   1 1 1 1
    530  18  17   1 1 1 1
    531  19  17   1 1 1 1
    532  20  17   1 1 1 1
    533  21  17   1 1 1 1
    534  22  17   1 1 1 1
    535  23  17   1 1 1 1
    536  24  17   1 1 1 1
    537  25  17   1 1 1 1
    538  26  17   1 1 1 1
    539  27  17   1 1 1 1
    540  28  17   1 1 1 1
    541  29  17   1 1 1 1
    542  30  17   1 1 1 1
    543  31  17   1 1 1 1
    544  32  17   1 1 1 1
    545   1  18   1 1 1 1
    546   2  18   1 1 1 1
    547   3  18   1 1 1 1
    548   4  18   1 1 1 1
    549   5  18   1 1 1 1
    550   6  18   1 1 1 1
    551   7  18   1 1 1 1
    552   8  18   1 1 1 1
    553   9  18   1 1 1 1
    554  10  18   1 1 1 1
    555  11  18   1 1 1 1
    556  12  18   1 1 1 1
    557  13  18   1 1 1 1
    558  14  18   1 1 1 1
    559  15  18   1 1 1 1
    560  16  18   1 1 1 1
    561  17  18   1 1 1 1
    562  18  18   1 1 1 1
    563  19  18   1 1 1 1
    564  20  18   1 1 1 1
    565  21  18   1 1 1 1
    566  22  18   1 1 1 1
    567  23  18   1 1 1 1
    568  24  18   1 1 1 1
    569  25  18   1 1 1 1
    570  26  18   1 1 1 1
    571  27  18   1 1 1 1
    572  28  18   1 1 1 1
    573  29  18   1 1 1 1
    574  30  18   1 1 1 1
    575  31  18   1 1 1 1
    576  32  18   1 1 1 1
    577   1  19   1 1 1 1
    578   2  19   1 1 1 1
    579   3  19   1 1 1 1
    580   4  19   1 1 1 1
    581   5  19   1 1 1 1
    582   6  19   1 1 1 1
    583   7  19   1 1 1 1
    584   8  19   1 1 1 1
    585   9  19   1 1 1 1
    586  10  19   1 1 1 1
    587  11  19   1 1 1 1
    588  12  19   1 1 1 1
    589  13  19   1 1 1 1
    590  14  19   1 1 1 1
    591  15  19   1 1 1 1
    592  16  19   1 1 1 1
    593  17  19   1 1 1 1
