 >TARNAS multisphere target composed of  16 spheres, DIAMX= 48.0000
    175  14 -23 -29 1 1 1
    176  15 -23 -29 1 1 1
    177  16 -23 -29 1 1 1
    178  12 -22 -29 1 1 1
    179  13 -22 -29 1 1 1
    180  14 -22 -29 1 1 1
    181  15 -22 -29 1 1 1
    182  16 -22 -29 1 1 1
    183  17 -22 -29 1 1 1
    184  18 -22 -29 1 1 1
    185  10 -21 -29 1 1 1
    186  11 -21 -29 1 1 1
    187  12 -21 -29 1 1 1
    188  13 -21 -29 1 1 1
    189  14 -21 -29 1 1 1
    190  15 -21 -29 1 1 1
    191  16 -21 -29 1 1 1
    192  17 -21 -29 1 1 1
    193  18 -21 -29 1 1 1
    194  19 -21 -29 1 1 1
    195  10 -20 -29 1 1 1
    196  11 -20 -29 1 1 1
    197  12 -20 -29 1 1 1
    198  13 -20 -29 1 1 1
    199  14 -20 -29 1 1 1
    200  15 -20 -29 1 1 1
    201  16 -20 -29 1 1 1
    202  17 -20 -29 1 1 1
    203  18 -20 -29 1 1 1
    204  19 -20 -29 1 1 1
    205  20 -20 -29 1 1 1
    206   9 -19 -29 1 1 1
    207  10 -19 -29 1 1 1
    208  11 -19 -29 1 1 1
    209  12 -19 -29 1 1 1
    210  13 -19 -29 1 1 1
    211  14 -19 -29 1 1 1
    212  15 -19 -29 1 1 1
    213  16 -19 -29 1 1 1
    214  17 -19 -29 1 1 1
    215  18 -19 -29 1 1 1
    216  19 -19 -29 1 1 1
    217  20 -19 -29 1 1 1
    218   9 -18 -29 1 1 1
    219  10 -18 -29 1 1 1
    220  11 -18 -29 1 1 1
    221  12 -18 -29 1 1 1
    222  13 -18 -29 1 1 1
    223  14 -18 -29 1 1 1
    224  15 -18 -29 1 1 1
    225  16 -18 -29 1 1 1
    226  17 -18 -29 1 1 1
    227  18 -18 -29 1 1 1
    228  19 -18 -29 1 1 1
    229  20 -18 -29 1 1 1
    230  21 -18 -29 1 1 1
    231   9 -17 -29 1 1 1
    232  10 -17 -29 1 1 1
    233  11 -17 -29 1 1 1
    234  12 -17 -29 1 1 1
    235  13 -17 -29 1 1 1
    236  14 -17 -29 1 1 1
    237  15 -17 -29 1 1 1
    238  16 -17 -29 1 1 1
    239  17 -17 -29 1 1 1
    240  18 -17 -29 1 1 1
    241  19 -17 -29 1 1 1
    242  20 -17 -29 1 1 1
    243  21 -17 -29 1 1 1
    244   9 -16 -29 1 1 1
    245  10 -16 -29 1 1 1
    246  11 -16 -29 1 1 1
    247  12 -16 -29 1 1 1
    248  13 -16 -29 1 1 1
    249  14 -16 -29 1 1 1
    250  15 -16 -29 1 1 1
    251  16 -16 -29 1 1 1
    252  17 -16 -29 1 1 1
    253  18 -16 -29 1 1 1
    254  19 -16 -29 1 1 1
    255  20 -16 -29 1 1 1
    256  21 -16 -29 1 1 1
    257   9 -15 -29 1 1 1
    258  10 -15 -29 1 1 1
    259  11 -15 -29 1 1 1
    260  12 -15 -29 1 1 1
    261  13 -15 -29 1 1 1
    262  14 -15 -29 1 1 1
    263  15 -15 -29 1 1 1
    264  16 -15 -29 1 1 1
    265  17 -15 -29 1 1 1
    266  18 -15 -29 1 1 1
    267  19 -15 -29 1 1 1
    268  20 -15 -29 1 1 1
    269  21 -15 -29 1 1 1
    270   9 -14 -29 1 1 1
    271  10 -14 -29 1 1 1
    272  11 -14 -29 1 1 1
    273  12 -14 -29 1 1 1
    274  13 -14 -29 1 1 1
    275  14 -14 -29 1 1 1
    276  15 -14 -29 1 1 1
    277  16 -14 -29 1 1 1
    278  17 -14 -29 1 1 1
    279  18 -14 -29 1 1 1
    280  19 -14 -29 1 1 1
    281  20 -14 -29 1 1 1
    282  10 -13 -29 1 1 1
    283  11 -13 -29 1 1 1
    284  12 -13 -29 1 1 1
    285  13 -13 -29 1 1 1
    286  14 -13 -29 1 1 1
    287  15 -13 -29 1 1 1
    288  16 -13 -29 1 1 1
    289  17 -13 -29 1 1 1
    290  18 -13 -29 1 1 1
    291  19 -13 -29 1 1 1
    292  20 -13 -29 1 1 1
    293  11 -12 -29 1 1 1
    294  12 -12 -29 1 1 1
    295  13 -12 -29 1 1 1
    296  14 -12 -29 1 1 1
    297  15 -12 -29 1 1 1
    298  16 -12 -29 1 1 1
    299  17 -12 -29 1 1 1
    300  18 -12 -29 1 1 1
    301  19 -12 -29 1 1 1
    302  12 -11 -29 1 1 1
    303  13 -11 -29 1 1 1
    304  14 -11 -29 1 1 1
    305  15 -11 -29 1 1 1
    306  16 -11 -29 1 1 1
    307  17 -11 -29 1 1 1
    308  18 -11 -29 1 1 1
    309  12 -23 -28 1 1 1
    310  13 -23 -28 1 1 1
    311  14 -23 -28 1 1 1
    312  15 -23 -28 1 1 1
    313  16 -23 -28 1 1 1
    314  17 -23 -28 1 1 1
    315  18 -23 -28 1 1 1
    316  11 -22 -28 1 1 1
    317  12 -22 -28 1 1 1
    318  13 -22 -28 1 1 1
    319  14 -22 -28 1 1 1
    320  15 -22 -28 1 1 1
    321  16 -22 -28 1 1 1
    322  17 -22 -28 1 1 1
    323  18 -22 -28 1 1 1
    324  19 -22 -28 1 1 1
    325  10 -21 -28 1 1 1
    326  11 -21 -28 1 1 1
    327  12 -21 -28 1 1 1
    328  13 -21 -28 1 1 1
    329  14 -21 -28 1 1 1
    330  15 -21 -28 1 1 1
    331  16 -21 -28 1 1 1
    332  17 -21 -28 1 1 1
    333  18 -21 -28 1 1 1
    334  19 -21 -28 1 1 1
    335  20 -21 -28 1 1 1
    336   9 -20 -28 1 1 1
    337  10 -20 -28 1 1 1
    338  11 -20 -28 1 1 1
    339  12 -20 -28 1 1 1
    340  13 -20 -28 1 1 1
    341  14 -20 -28 1 1 1
    342  15 -20 -28 1 1 1
    343  16 -20 -28 1 1 1
    344  17 -20 -28 1 1 1
    345  18 -20 -28 1 1 1
